05.05.2023 15:51:34.939 [main] INFO  c.e.t.TelProjectApplication - Starting TelProjectApplication v0.0.1-SNAPSHOT using Java 19 with PID 73705 (/Users/sergejivanov/IdeaProjects/TelProject/target/TelProject-0.0.1-SNAPSHOT.jar started by sergejivanov in /Users/sergejivanov/IdeaProjects/TelProject/target)
05.05.2023 15:51:34.941 [main] INFO  c.e.t.TelProjectApplication - No active profile set, falling back to 1 default profile: "default"
05.05.2023 15:51:36.015 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
05.05.2023 15:51:36.016 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
05.05.2023 15:51:36.043 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.ProductRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.044 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.TransactionRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.045 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.ClientDocumentRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.046 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.ConfirmationTokenRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.047 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.ManagerRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.047 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.AccountRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.048 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.telproject.repository.ClientRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
05.05.2023 15:51:36.048 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 JDBC repository interfaces.
05.05.2023 15:51:36.058 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
05.05.2023 15:51:36.060 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
05.05.2023 15:51:36.102 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 39 ms. Found 7 JPA repository interfaces.
05.05.2023 15:51:36.681 [main] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
05.05.2023 15:51:36.691 [main] INFO  o.a.c.c.StandardService - Starting service [Tomcat]
05.05.2023 15:51:36.691 [main] INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
05.05.2023 15:51:36.754 [main] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
05.05.2023 15:51:36.754 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1766 ms
05.05.2023 15:51:36.902 [main] INFO  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
05.05.2023 15:51:36.967 [main] INFO  o.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
05.05.2023 15:51:37.230 [main] INFO  c.z.h.HikariDataSource - HikariPool-1 - Starting...
05.05.2023 15:51:37.437 [main] INFO  c.z.h.p.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@215a34b4
05.05.2023 15:51:37.438 [main] INFO  c.z.h.HikariDataSource - HikariPool-1 - Start completed.
05.05.2023 15:51:37.495 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
05.05.2023 15:51:38.617 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
05.05.2023 15:51:38.631 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
05.05.2023 15:51:39.576 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
05.05.2023 15:51:40.355 [main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7e0986c9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1377b1a0, org.springframework.security.web.context.SecurityContextHolderFilter@69ba3f4e, org.springframework.security.web.header.HeaderWriterFilter@6e9a10cd, org.springframework.security.web.authentication.logout.LogoutFilter@1657b017, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4243341e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@30517a57, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@48cf8414, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@a826ff8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@49889154, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27dbaa33, org.springframework.security.web.access.ExceptionTranslationFilter@3ed7dd70, org.springframework.security.web.access.intercept.AuthorizationFilter@300bb303]
05.05.2023 15:51:40.676 [main] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
05.05.2023 15:51:40.689 [main] INFO  c.e.t.TelProjectApplication - Started TelProjectApplication in 6.261 seconds (process running for 6.733)
05.05.2023 15:52:11.539 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
05.05.2023 15:52:11.540 [http-nio-8080-exec-2] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
05.05.2023 15:52:11.545 [http-nio-8080-exec-2] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 4 ms
05.05.2023 15:52:11.619 [http-nio-8080-exec-2] INFO  c.e.t.TelProjectApplication - 
Method findManagerById, from Class com.example.telproject.controller.ManagerController, successfully called with return value: ManagerDTO(first_name=First, last_name=Manager, status=ACTIVE, email=1manager@gmail.com, phone_number=+49131245623, birth_date=1993-02-16T00:00, created_at=2023-05-05T15:51:40.691, updated_at=2023-05-05T15:51:40.691)

05.05.2023 15:57:32.933 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
05.05.2023 15:57:32.940 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown initiated...
05.05.2023 15:57:32.943 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - HikariPool-1 - Shutdown completed.
